Marca,Modelo,Precio,KM,Año,Tipo_de_combustible,CV,Ubicacion,Transmision,Codigo_postal,Comunidad_autonoma
Peugeot,308,14400,21071,2023,Gasolina,131.0,MERIDA,Manual,06800,Extremadura
Ford,mustang,23990,36000,2014,Gasolina,,PALAFRUGELL,Automático,17200,Cataluña
Nissan,qashqai,7450,24600,2011,Diésel,150.0,TORREVIEJA,Automático,03181,Comunidad Valenciana
Volvo,xc70,2950,317333,2004,Diésel,163.0,ARGENTONA,Manual,08310,Cataluña
Citroen,c4 x,13590,35712,2023,Gasolina,101.0,MADRID,Manual,28021,Madrid
Mini,cooper cabrio,5999,160000,2006,Gasolina,170.0,HUERVA,Manual,50410,Aragón
Peugeot,208,6990,54091,2017,Gasolina,82.0,Erandio,Manual,48950,País Vasco
Audi,a3,3900,240000,2003,Gasolina,150.0,Sabadell,Manual,08205,Cataluña
Opel,corsa,9990,46000,2023,Gasolina,101.0,ALGINET,Manual,46230,Comunidad Valenciana
Ds automobiles,ds 4,7990,148300,2016,Diésel,120.0,MOSTOLES,Manual,28938,Madrid
Cupra,formentor,23690,6554,2024,Gasolina,150.0,PARLA,Manual,28980,Madrid
Bmw,745,51900,46700,2020,Electro/Gasolina,394.0,ARROYOMOLINOS,Automático,28939,Madrid
Volkswagen,polo,5600,150000,2010,Diésel,75.0,ALMENDRALEJO,Manual,06200,Extremadura
Hyundai,xg 30,2500,200000,2001,Gasolina,192.0,Parla,Automático,28983,Madrid
Mercedes-benz,cla 200,20390,96051,2018,Diésel,136.0,ZARAGOZA,Manual,50011,Aragón
Ford,focus,15000,10000,2020,Gasolina,250.0,PALENCIA,Manual,34004,Castilla y León
Opel,combo,9500,107000,2019,Diésel,102.0,POZOBLANCO,Manual,14400,Andalucía
Chrysler,300 m,2250,163851,1999,Gasolina,203.0,GALDAKANO,Automático,48960,País Vasco
Audi,a5,9999,215000,2012,Diésel,143.0,LLERONA,Manual,08520,Cataluña
Mercedes-benz,g 500,36900,204000,2001,Gasolina,306.0,LLOBREGAT,Automático,08023,Cataluña
Volvo,xc60,29900,105500,2020,Electro/Gasolina,392.0,ARROYOMOLINOS,Automático,28939,Madrid
Mercedes-benz,e 350,9990,259000,2010,Diésel,231.0,TARRAGONA,Automático,43850,Cataluña
Opel,insignia,4980,212000,2010,Diésel,131.0,HUMANES,Manual,28970,Madrid
Skoda,fabia,4990,89000,2012,Gasolina,60.0,LLOBREGAT,Manual,08820,Cataluña
Skoda,fabia,16990,8500,2024,Gasolina,116.0,VALLES,Manual,08450,Cataluña
Hyundai,i40,7751,177720,2014,Diésel,116.0,ROZAS,Manual,28232,Madrid
Peugeot,2008,8500,99200,2016,Gasolina,110.0,TERRASSA,Manual,08226,Cataluña
Bmw,x2,15490,159965,2019,Diésel,116.0,MOSTOLES,Manual,28938,Madrid
Nissan,qashqai,5950,191000,2009,Diésel,106.0,TORREVIEJA,Manual,03181,Comunidad Valenciana
Volkswagen,passat,7900,295175,2014,Diésel,140.0,BENICARLO,Manual,12580,Comunidad Valenciana
Mazda,cx-3,8990,186000,2016,Diésel,105.0,REY,Manual,45280,Castilla-La Mancha
Mercedes-benz,unknown,4200,270000,2005,Diésel,150.0,ALMENDRALEJO,Automático,06200,Extremadura
Ford,c-max,6700,68000,2013,Gasolina,125.0,GELTRÚ,Manual,08800,Cataluña
Citroen,xsara,1490,138000,1999,Gasolina,90.0,Ávila,Manual,05004,Andalucía
Bmw,318,7990,185000,2009,Gasolina,143.0,MADRID,Manual,28013,Madrid
Bmw,x3,12998,117840,2015,Diésel,190.0,Benalmadena,Automático,29630,Andalucía
Bmw,118,4990,234854,2007,Diésel,143.0,VILABLAREIX,Manual,17180,Cataluña
Audi,a7,12999,254000,2014,Diésel,204.0,PLASENCIA,Automático,10600,Extremadura
Opel,corsa,9490,65278,2021,Gasolina,101.0,MADRID,Manual,28021,Madrid
Land rover,discovery sport,13450,140000,2016,Diésel,179.0,MADRID.,Automático,28970,Madrid
Opel,corsa,9490,65278,2021,Gasolina,101.0,MADRID,Manual,28021,Madrid
Land rover,discovery sport,13450,140000,2016,Diésel,179.0,MADRID.,Automático,28970,Madrid
Mazda,rx-8,9990,90100,2006,Gasolina,231.0,MADRID,Manual,28970,Madrid
Porsche,cayenne,20999,327000,2015,Diésel,262.0,LLERONA,Automático,08520,Cataluña
Jeep,avenger,17950,46937,2023,Gasolina,101.0,MANISES,Manual,46940,Comunidad Valenciana
Ford,kuga,11490,145144,2016,Diésel,150.0,LEGANES,Manual,28919,Madrid
Bmw,320,36900,21300,2024,Gasolina,184.0,ARROYOMOLINOS,Automático,28939,Madrid
Mini,one,12200,64000,2019,Gasolina,102.0,REYES,Manual,28703,Madrid
Honda,hr-v,17000,55881,2021,Gasolina,131.0,MANISES,Manual,46940,Comunidad Valenciana
Volkswagen,golf,9490,58932,2015,Eléctrico,116.0,REY,Automático,45280,Castilla-La Mancha
Bmw,118,18803,72935,2020,Diésel,150.0,MADRID,Manual,28019,Madrid
Bmw,i8,55990,135500,2015,Electro/Gasolina,362.0,MOSTOLES,Automático,28938,Madrid
Bmw,530,22990,143850,2019,Electro/Gasolina,250.0,FE,Automático,18320,Andalucía
Land rover,range rover evoque,21990,79000,2020,Diésel,150.0,Sestao,Manual,48910,País Vasco
Mercedes-benz,gle 350,47900,135767,2021,Electro/Diésel,320.0,VELEZ,Automático,29740,Andalucía
Cupra,formentor,17000,85000,2021,Gasolina,150.0,MADRID,Manual,28007,Madrid
Audi,a4,19900,172600,2020,Diésel,163.0,ARROYOMOLINOS,Automático,28939,Madrid
Toyota,unknown,12100,54080,2023,Gasolina,72.0,Alicante,Manual,03320,Comunidad Valenciana
Bmw,520,24900,112000,2020,Diésel,190.0,(BARCELONA),Automático,08960,Cataluña
Lexus,ls 600,25900,151035,2012,Electro/Gasolina,445.0,MADRID,Automático,28034,Madrid
Volkswagen,tiguan,21190,98273,2020,Diésel,150.0,Massanassa,Automático,46470,Comunidad Valenciana
Seat,arona,13000,48000,2020,Gasolina,150.0,ASPE,Manual,03680,Comunidad Valenciana
Mitsubishi,outlander,7999,250000,2013,Diésel,150.0,BEGIJAR,Automático,23520,Andalucía
Volkswagen,passat,6500,240000,2012,Diésel,140.0,VEGA,Manual,28330,Madrid
Mazda,cx-7,7900,198000,2010,Diésel,173.0,ALICANTE,Manual,03550,Comunidad Valenciana
Volkswagen,passat,16496,109432,2020,Diésel,150.0,Leganés,Manual,28914,Madrid
Alfa romeo,4c,64900,26900,2016,Gasolina,241.0,MARBELLA,Automático,29660,Andalucía
Renault,megane,6000,148000,2012,Gasolina,116.0,CORDOBA,Manual,14014,Andalucía
Kia,sportage,12400,188600,2018,Diésel,116.0,GANDIA,Manual,46700,Comunidad Valenciana
Opel,corsa,13490,6340,2024,Gasolina,101.0,HARO,Manual,26200,La Rioja
Land rover,range rover evoque,15990,123647,2011,Diésel,190.0,LEGANES,Automático,28919,Madrid
Mercedes-benz,a 180,32990,8126,2024,Diésel,116.0,MADRID,Automático,28022,Madrid
Fiat,panda,9400,47000,2015,Diésel,75.0,BARCELONA,Manual,08028,Cataluña
Volkswagen,golf,10499,134833,2013,Diésel,110.0,SEVILLA,Manual,41001,Andalucía
Mini,one,5950,162500,2007,Gasolina,,CORUÑA,Manual,15008,Galicia
Dacia,sandero,14900,12700,2024,Gasolina,91.0,Pinto,Manual,28320,Madrid
Skoda,superb,3800,450000,2012,Diésel,105.0,ASTORGA,Manual,24700,Castilla y León
Citroen,c3,7800,107000,2017,Gasolina,82.0,Manises,Manual,46940,Comunidad Valenciana
Mazda,cx-5,23846,36459,2022,Gasolina,165.0,LEGANES,Automático,28914,Madrid
Opel,corsa,14150,1,2025,Gasolina,101.0,MERIDA,Manual,06800,Extremadura
Bmw,320,6999,191000,2005,Gasolina,170.0,CRUZ,Automático,30400,Región de Murcia
Porsche,panamera,28000,155000,2014,Gasolina,420.0,MADRID,Automático,28031,Madrid
Bmw,x3,11990,171213,2011,Diésel,184.0,VILABLAREIX,Automático,17180,Cataluña
Peugeot,rifter,10990,178000,2019,Diésel,99.0,MAR,Manual,08349,Cataluña
Renault,kadjar,8990,186270,2015,Diésel,110.0,VILABLAREIX,Manual,17180,Cataluña
Citroen,c4 cactus,8490,86711,2018,Gasolina,110.0,MADRID,Automático,28970,Madrid
Volvo,s60,31600,67000,2021,Electro/Gasolina,405.0,REYES,Automático,28703,Madrid
Citroen,c5 aircross,11900,45000,2020,Gasolina,131.0,Ourense,Manual,32915,Galicia
Mg,tf,6900,110000,2003,Gasolina,135.0,BERRIOZAR,Manual,31013,Navarra
Bmw,x5,7800,114000,2003,Diésel,218.0,Palafolls,Automático,08389,Cataluña
Citroen,c5,5700,211000,2012,Diésel,140.0,BERRIOPLANO/BERRIOBEITI,Manual,31195,Navarra
Audi,a5,16900,148085,2016,Gasolina,177.0,TERRASSA,Manual,08226,Cataluña
Toyota,rav 4,13800,203600,2014,Diésel,124.0,BADAJOZ,Manual,06420,Extremadura
Kia,sportage,18990,59899,2022,Gasolina,152.0,MADRID,Manual,28002,Madrid
Bmw,x3,16390,175000,2016,Diésel,150.0,HENARES,Manual,28802,Madrid
Audi,a4,7499,213977,2009,Gasolina,160.0,AGOST,Manual,03698,Comunidad Valenciana
Ford,kuga,11790,111015,2018,Diésel,140.0,ÁVILA,Manual,05004,Andalucía
Bmw,x2,16790,129900,2021,Gasolina,140.0,REYES,Automático,28703,Madrid
Audi,a6,15700,254968,2018,Diésel,150.0,MALAGA,Automático,29004,Andalucía
Citroen,c4,5900,139000,2007,Diésel,109.0,Parla,Manual,28983,Madrid
Bmw,x1,20150,97711,2022,Diésel,116.0,ZARAGOZA,Manual,50011,Aragón
Peugeot,2008,12500,29000,2022,Diésel,110.0,"ARDOZ,",Manual,28850,Madrid
Volkswagen,golf gti,12000,141000,2011,Gasolina,211.0,LUGO,Manual,27003,Galicia
Land rover,freelander,7999,230000,2008,Diésel,160.0,BRACAMONTE,Automático,37300,Castilla y León
Mercedes-benz,glc 43 amg,33988,112000,2017,Gasolina,367.0,GALDAKAO,Automático,48960,País Vasco
Mercedes-benz,gla 220,16490,132000,2014,Diésel,170.0,PARLA,Automático,28982,Madrid
Peugeot,408,19990,30832,2024,Gasolina,131.0,MADRID,Automático,28021,Madrid
Hyundai,bayon,15090,30712,2024,Gasolina,84.0,MADRID,Manual,28914,Madrid
Opel,corsa,9490,23982,2021,Gasolina,75.0,POBLET,Manual,46930,Comunidad Valenciana
Bmw,x1,9990,173000,2010,Diésel,177.0,Barca,Manual,08740,Cataluña
Skoda,kamiq,14445,113290,2021,Gasolina,110.0,MADRID,Automático,28649,Madrid
Mg,zs,13627,17012,2023,Gasolina,106.0,JAEN,Manual,23009,Andalucía
Renault,arkana,17863,83402,2022,Electro/Gasolina,143.0,MADRID,Automático,28019,Madrid
Seat,ibiza,8990,66000,2012,Diésel,105.0,LLOBREGAT,Manual,08820,Cataluña
Volkswagen,touran,10990,143000,2011,Diésel,105.0,LLOBREGAT,Manual,08950,Cataluña
Audi,rs q3,58990,20956,2023,Gasolina,400.0,MADRID,Automático,28970,Madrid
Land rover,range rover evoque,16490,169000,2015,Diésel,150.0,GRANOLLERS,Automático,08403,Cataluña
Ford,focus,3000,294000,2006,Diésel,116.0,CORUÑA,Manual,15190,Galicia
Peugeot,308,7490,164542,2019,Diésel,99.0,REY,Manual,45280,Castilla-La Mancha
Cupra,leon,24400,18291,2024,Gasolina,150.0,PARLA,Automático,28980,Madrid
Peugeot,5008,18490,53000,2020,Diésel,131.0,COGULLADA-CARCAIXENT,Automático,46740,Comunidad Valenciana
Audi,q5,11900,230989,2009,Diésel,170.0,ZARAGOZA,Automático,50014,Aragón
Audi,a6,379900,10,2025,Gasolina,630.0,CARDEDEU,Automático,08440,Cataluña
Nissan,qashqai,7450,235000,2010,Diésel,150.0,TORREVIEJA,Automático,03181,Comunidad Valenciana
Volkswagen,t-roc,22002,49734,2020,Diésel,150.0,ROZAS,Automático,28232,Madrid
Toyota,c-hr,16990,142581,2021,Electro/Gasolina,125.0,VILABLAREIX,Automático,17180,Cataluña
Jeep,avenger,16790,26194,2024,Gasolina,101.0,MADRID,Manual,28021,Madrid
Volkswagen,golf,6300,161000,2006,Diésel,140.0,ALICANTE,Manual,03005,Comunidad Valenciana
Nissan,qashqai,15700,77500,2021,Diésel,150.0,ZUBIA,Manual,18140,Andalucía
Nissan,juke,14540,31306,2021,Gasolina,114.0,MADRID,Manual,28914,Madrid
Peugeot,2008,18490,20857,2024,Gasolina,131.0,Villalba,Automático,28400,Madrid
Toyota,rav 4,20490,211000,2021,Electro/Gasolina,222.0,Sestao,Automático,48910,País Vasco
Peugeot,3008,1,10,2025,Gasolina,145.0,Villalba,Automático,28400,Madrid
Audi,a6,8990,240000,2011,Diésel,170.0,REYES,Manual,28703,Madrid
Cupra,leon,24890,15000,2024,Gasolina,150.0,LLOBREGAT,Automático,08830,Cataluña
Mercedes-benz,e 320,7299,318444,2006,Diésel,224.0,ALMENDRALEJO,Automático,06200,Extremadura
Citroen,c4 cactus,7999,140000,2016,Diésel,99.0,ALMERIA,Manual,04008,Andalucía
Renault,rafale,45500,11600,2024,Electro/Gasolina,300.0,Pinto,Automático,28320,Madrid
Mazda,6,7990,187000,2012,Diésel,129.0,HENARES,Manual,28802,Madrid
Audi,a3,9990,190000,2013,Diésel,150.0,Rei,Manual,08750,Cataluña
Mercedes-benz,e 320,7299,318444,2006,Diésel,224.0,ALMENDRALEJO,Automático,06200,Extremadura
Citroen,c4 cactus,7999,140000,2016,Diésel,99.0,ALMERIA,Manual,04008,Andalucía
Renault,rafale,45500,11600,2024,Electro/Gasolina,300.0,Pinto,Automático,28320,Madrid
Mazda,6,7990,187000,2012,Diésel,129.0,HENARES,Manual,28802,Madrid
Audi,a3,9990,190000,2013,Diésel,150.0,Rei,Manual,08750,Cataluña
Audi,a4,6950,221000,2006,Diésel,140.0,LLOBREGAT,Manual,08950,Cataluña
Mercedes-benz,glc 220,35500,119311,2020,Diésel,194.0,BENICARLO,Automático,12580,Comunidad Valenciana
Toyota,verso,6850,183000,2011,Diésel,126.0,TORREVIEJA,Manual,03181,Comunidad Valenciana
Peugeot,3008,19390,54000,2021,Electro/Gasolina,224.0,REYES,Automático,28703,Madrid
Bmw,320,18990,159000,2016,Diésel,190.0,CANARIA,Automático,35013,Canarias
Chevrolet,camaro,26500,78000,2015,Gasolina,,VALENCIA,Automático,46019,Comunidad Valenciana
Mazda,3,12490,63139,2017,Gasolina,120.0,GASTEIZ,Manual,01003,País Vasco
Audi,q3,32750,119632,2021,Diésel,150.0,VACIAMADRID,Automático,28529,Madrid
Nissan,note,4900,200000,2014,Diésel,90.0,TORREVIEJA,Manual,03182,Comunidad Valenciana
Land rover,range rover evoque,11899,248500,2014,Diésel,150.0,LLERONA,Automático,08520,Cataluña
Cupra,ateca,36890,9900,2024,Gasolina,300.0,VALLES,Automático,08150,Cataluña
Peugeot,408,32990,7250,2024,Electro/Gasolina,224.0,REUS,Automático,43204,Cataluña
Jeep,avenger,18190,16845,2024,Gasolina,101.0,MADRID,Manual,28021,Madrid
Fiat,freemont,11899,109985,2015,Diésel,140.0,MONTE,Manual,28660,Madrid
Lexus,rx 450h,20999,187000,2015,Electro/Gasolina,299.0,MADRID,Automático,28019,Madrid
Cupra,ateca,36890,9900,2024,Gasolina,300.0,VALLES,Automático,08150,Cataluña
Peugeot,408,32990,7250,2024,Electro/Gasolina,224.0,REUS,Automático,43204,Cataluña
Jeep,avenger,18190,16845,2024,Gasolina,101.0,MADRID,Manual,28021,Madrid
Fiat,freemont,11899,109985,2015,Diésel,140.0,MONTE,Manual,28660,Madrid
Lexus,rx 450h,20999,187000,2015,Electro/Gasolina,299.0,MADRID,Automático,28019,Madrid
Volkswagen,golf,13290,118000,2018,Gasolina,116.0,MATARO,Manual,08304,Cataluña
Mitsubishi,outlander,13999,149714,2018,Diésel,150.0,AGOST,Manual,03698,Comunidad Valenciana
Audi,a4,11999,95000,2008,Diésel,143.0,IGUALADA,Manual,08700,Cataluña
Ds automobiles,ds 4,7990,148300,2016,Diésel,120.0,REY,Manual,45280,Castilla-La Mancha
Jaguar,xf,13990,86143,2016,Diésel,182.0,REI,Automático,08750,Cataluña
Audi,rs4,49998,120697,2020,Gasolina,450.0,BILBAO,Automático,48010,País Vasco
Volkswagen,passat,14990,147000,2020,Diésel,150.0,MALAGA,Manual,29001,Andalucía
Cupra,leon,23850,7554,2024,Gasolina,150.0,Manises,Automático,46940,Comunidad Valenciana
Mercedes-benz,s 350,14500,340000,2010,Diésel,235.0,RINCONADA,Automático,41309,Andalucía
Citroen,c3,14200,10,2025,Gasolina,101.0,Villalba,Manual,28400,Madrid
Nissan,qashqai,22900,9571,2024,Gasolina,140.0,OLEIROS,Manual,15172,Galicia
Toyota,verso,10990,123862,2014,Diésel,150.0,VILABLAREIX,Automático,17180,Cataluña
Renault,megane,12475,110890,2021,Diésel,116.0,PARLA,Manual,28983,Madrid
Tesla,model s,19490,189000,2015,Eléctrico,,BASAURI,Automático,48970,País Vasco
Nissan,qashqai,9960,140459,2013,Diésel,110.0,BARCELONA,Manual,08028,Cataluña
Nissan,qashqai,22900,9571,2024,Gasolina,140.0,OLEIROS,Manual,15172,Galicia
Toyota,verso,10990,123862,2014,Diésel,150.0,VILABLAREIX,Automático,17180,Cataluña
Tesla,model s,19490,189000,2015,Eléctrico,,BASAURI,Automático,48970,País Vasco
Nissan,qashqai,9960,140459,2013,Diésel,110.0,BARCELONA,Manual,08028,Cataluña
Bmw,320,19400,221000,2021,Diésel,190.0,ARROYOMOLINOS,Automático,28939,Madrid
Mercedes-benz,a 45 amg,36990,46000,2018,Gasolina,381.0,LLOBREGAT,Automático,08950,Cataluña
Volkswagen,t-cross,14444,31253,2022,Gasolina,95.0,MADRID,Manual,28019,Madrid
Cupra,formentor,23455,7772,2024,Gasolina,150.0,BARCELONA,Manual,08030,Cataluña
Bmw,120,5500,198000,2005,Diésel,163.0,MANRESA,Manual,08242,Cataluña
Cupra,formentor,21950,35309,2024,Gasolina,150.0,CASTRILLÓN,Manual,33459,Asturias
Bmw,x3,34900,33200,2021,Diésel,190.0,ARROYOMOLINOS,Automático,28939,Madrid
Bmw,x3,14890,187074,2015,Diésel,190.0,Burlada,Manual,31600,Navarra
Skoda,fabia,13800,10536,2024,Gasolina,80.0,TARRAGONA,Manual,43006,Cataluña
Peugeot,rifter,14990,97904,2019,Diésel,99.0,Venturada,Manual,28729,Madrid
Hyundai,tucson,11999,199000,2017,Diésel,114.0,MALAGA,Manual,29004,Andalucía
Audi,rs3,49990,62400,2020,Gasolina,400.0,DALT,Automático,08339,Cataluña
Citroen,c4,7900,54300,2014,Diésel,114.0,TERRASSA,Manual,08226,Cataluña
Ds automobiles,ds 3,13500,59992,2020,Diésel,99.0,MAJADAHONDA,Automático,28221,Madrid
Audi,a4,14900,218000,2019,Diésel,150.0,BADAJOZ,Automático,06011,Extremadura
Renault,zoe,6800,36682,2016,Eléctrico,88.0,Rioja,Automático,26006,La Rioja
