Comunidad Autónoma,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ANDALUCÍA,34682,36479,39225,36902,38089,40153,37961,37923,44550,47766,49058,49168,52046,54905,57437,62272,61736,65184,56688,54004,51427,50674,50119,47114,46290,47946,45054,48127,47501,41936,33955,35416,38903
ARAGÓN,12625,13365,14251,14057,14615,14952,13733,16332,13431,14513,16477,15019,17314,17159,17578,18399,17916,18881,17829,14897,13021,16065,14325,12408,13587,13699,12265,14027,12603,11933,9826,9733,10080
ASTURIAS,26261,25397,26023,24734,25545,27478,23139,26135,26000,31124,32630,29979,32898,31460,31915,33033,29890,32109,24587,21196,19766,21446,22855,21731,22131,27118,21628,23264,21372,16904,14121,18042,18047
BALEARES,5590,5979,5842,5830,6405,6705,7018,7067,7553,8224,8485,8632,8896,10419,10066,10153,10204,10398,10461,10321,10186,9726,9125,8248,7875,8071,8250,8873,9194,8535,5697,6937,7516
CANARIAS,8231,8067,8200,8523,9144,9152,11538,11474,12326,15083,15474,16249,16303,16753,18803,19303,17701,17663,18292,15925,15750,14529,14677,13588,13250,13035,13449,13775,13568,13418,11073,11869,12698
CANTABRIA,4219,4165,3897,3694,4402,4971,4321,4603,4974,4840,5039,5418,5836,5918,6147,6200,6299,6415,6304,5555,5871,5455,5451,4820,5055,5055,4922,5272,5449,5513,4745,5133,4851
CASTILLA Y LEÓN,27467,27867,27870,26951,28161,29136,27528,34636,29612,31819,33160,32601,35192,34753,36683,36522,33404,34434,30980,22617,18095,25797,26330,20837,23069,24641,22254,22166,19117,16163,14692,15515,14569
CASTILLA-LA MANCHA,14986,15529,15740,14078,15732,15341,16200,17409,18107,19633,20238,20591,20523,20247,21199,20358,20650,21883,19110,17761,16369,15674,14468,12808,12166,11502,11084,11075,11611,12147,10994,11325,11592
CATALUÑA,34077,34942,36538,35053,39153,44188,43049,42891,43405,45686,47213,45170,44541,47683,49185,51408,50447,51648,48093,45074,43959,41407,38881,36043,36110,36388,37593,38280,38021,38105,34312,35006,35000
CEUTA,697,705,710,762,761,810,875,714,806,748,625,598,628,661,651,637,759,803,696,590,539,465,452,356,334,331,354,408,431,504,395,377,458
COMUNIDAD VALENCIANA,16390,17463,18187,17449,19418,20930,20882,21639,23613,25731,25812,26018,27469,28149,29435,31034,30165,31862,31895,27740,26673,25134,23477,22916,22961,23625,23565,23702,23718,23801,21537,23351,23270
EXTREMADURA,2127,2311,2170,1861,2304,2198,2392,2542,2539,3151,3630,3749,5031,5528,5556,5836,6593,6818,6704,6397,6403,6250,6045,5733,5647,5671,5459,5874,5903,6089,5978,6302,6396
GALICIA,23783,23214,25128,24933,24286,26787,25064,23839,25965,24484,25654,25994,28144,27023,28101,26990,26353,27036,21106,18844,17333,18940,21759,18667,18842,19837,18248,20321,19279,11875,8881,9089,9556
LA RIOJA,955,970,985,978,1059,1160,1175,1196,1365,1433,1490,1509,1558,1737,1915,3272,3316,3196,2978,2074,1988,1673,1805,1406,1238,1402,1575,1798,1569,1656,1334,1587,1608
MADRID,15758,16945,18353,17713,18929,19039,20169,20158,21665,22478,24064,25424,25886,27082,27269,28830,29189,29514,27083,26396,26116,25738,24001,24322,22701,22054,22565,22465,23573,23232,19622,22164,21596
MELILLA,316,345,305,444,448,393,375,290,301,320,329,333,319,342,350,357,395,416,422,401,411,400,470,410,363,394,432,513,469,426,357,344,347
NAVARRA,4029,4232,4076,3853,4359,4559,4636,4560,4663,4930,3593,3564,3899,5127,6015,5757,5537,5487,5755,5292,5285,4177,3722,3508,3424,3813,4178,3873,3787,4766,4126,4842,4661
PAÍS VASCO,15361,17075,16802,15796,17508,16197,14925,15633,16360,17502,19088,18544,20823,20523,21178,23036,22938,21873,21891,20931,20277,16823,17273,14833,14079,14012,13834,14295,14251,15179,13089,14343,14488
REGIÓN DE MURCIA,5559,5610,5830,5301,5849,5887,5877,5879,6492,6893,7413,7740,8470,7694,7705,8041,9896,11203,12328,10071,9073,8486,8899,8273,8473,8118,7855,8953,9108,10326,9387,9480,11033
TOTAL DE ESPAÑA,253113,260660,270132,258912,276167,290036,280857,294920,303727,326358,339472,336300,355776,363163,377188,391438,383388,396823,363202,326086,308542,308859,304134,278021,277595,286712,274564,287061,280524,262508,224121,240855,246669